"Dispensing.Practice","IMD","Average.payments.per.weighted.patient"
"Non-dispensing",27.04287247,144.65
"Non-dispensing",11.29666826,146.61
"Non-dispensing",30.16341326,189.78
"Non-dispensing",35.40306871,160.23
"Dispensing",11.39271011,209.65
"Non-dispensing",36.38553587,153.6
"Non-dispensing",27.11720127,141.62
"Non-dispensing",38.8315837,207.27
"Non-dispensing",32.06200035,170.4
"Non-dispensing",30.06377103,164.78
"Non-dispensing",27.98080251,137.18
"Non-dispensing",31.78306325,159.67
"Non-dispensing",22.06068184,141.75
"Non-dispensing",26.72721573,152.59
"Non-dispensing",33.71812943,150.62
"Non-dispensing",39.30041676,150.09
"Non-dispensing",34.83929548,158.27
"Non-dispensing",44.54344697,150.23
"Non-dispensing",34.53316914,179.42
"Non-dispensing",33.63703546,157.2
"Non-dispensing",40.08067262,468.13
"Non-dispensing",29.11911111,154.6
"Non-dispensing",24.65897283,150.66
"Non-dispensing",52.46332749,145.49
"Non-dispensing",44.45460982,144.76
"Non-dispensing",19.54312822,154.18
"Non-dispensing",53.78786184,152.07
"Non-dispensing",18.12596853,159.07
"Non-dispensing",41.19133583,176.61
"Non-dispensing",17.23672224,171.54
"Dispensing",22.57392137,194.63
"Dispensing",7.161766923,252.62
"Non-dispensing",20.49102197,182.51
"Non-dispensing",51.33069044,142.22
"Non-dispensing",32.09512239,152.37
"Non-dispensing",22.16136216,187.2
"Non-dispensing",39.16107612,151.28
"Non-dispensing",42.46528299,161.22
"Non-dispensing",22.63565163,164.88
"Non-dispensing",21.16124639,159.6
"Non-dispensing",29.66946901,166.95
"Non-dispensing",16.9565536,150.69
"Non-dispensing",37.90756671,167.51
"Non-dispensing",41.45043071,186.83
"Non-dispensing",29.21198023,156.33
"Non-dispensing",24.74084483,152.66
"Non-dispensing",13.10502047,183.39
"Non-dispensing",15.97956734,169.68
"Non-dispensing",11.01180963,203.78
"Non-dispensing",9.587883313,171.09
"Non-dispensing",9.674477742,172.06
"Non-dispensing",46.64332104,147.29
"Dispensing",12.09627538,189.64
"Non-dispensing",14.07929418,167.84
"Non-dispensing",17.61868452,175.84
"Non-dispensing",35.04572325,146.31
"Non-dispensing",39.87735675,152.73
"Non-dispensing",49.76407819,215.61
"Non-dispensing",15.1813299,171.13
"Dispensing",11.27620913,197.73
"Non-dispensing",27.81930524,175.9
"Non-dispensing",21.26668435,169.45
"Non-dispensing",16.94034165,168.12
"Non-dispensing",8.289327596,155.79
"Non-dispensing",50.99364985,149.6
"Non-dispensing",35.36753753,160.16
"Non-dispensing",9.858640855,217.27
"Non-dispensing",20.03447396,163.32
"Non-dispensing",21.78704798,171.88
