"Practice.Code","prop65","IMD","Practice.Rurality"
"C84619",13.51978,30.72388499,"Urban"
"C84624",19.09158,15.09949431,"Urban"
"C84628",6.46552,35.74761977,"Urban"
"C84629",17.4742,31.72269389,"Urban"
"C84637",16.2225,34.8058828,"Urban"
"C84664",12.42521,23.24565026,"Urban"
"C84667",19.82396,14.78691198,"Urban"
"C84676",6.34879,41.64386529,"Urban"
"C84679",10.17203,34.2128113,"Urban"
"C84682",12.31884,25.90858972,"Urban"
"C84683",8.21296,39.35157124,"Urban"
"C84693",17.70115,22.07665072,"Urban"
"C84695",9.99003,37.82937941,"Urban"
"C84696",19.13747,13.01426462,"Urban"
"C84705",15.63677,19.20621438,"Urban"
"C84717",0,44.42560527,"Urban"
"C85005",21.09072,29.6919628,"Urban"
"C85013",17.55392,30.89968945,"Urban"
"C85016",20.87865,30.73211325,"Urban"
"C85017",18.685,37.30873896,"Urban"
"C85019",21.3968,30.42940387,"Urban"
"C85020",22.44774,22.9059764,"Urban"
"C85022",19.18371,26.79085245,"Urban"
"C85023",19.57979,40.59859591,"Urban"
