"","Practice.Code","Achievement_AF","Achievement_BP","Achievement_CHD","Achievement_CHOL","Achievement_HF","Achievement_HYP","Achievement_LVSD","Achievement_PAD","Achievement_STIA","Prevalence_AF","Prevalence_BP","Prevalence_CHD","Prevalence_CHOL","Prevalence_HF","Prevalence_HYP","Prevalence_LVSD","Prevalence_PAD","Prevalence_STIA","List.Size_AF","List.Size_BP","List.Size_CHD","List.Size_CHOL","List.Size_HF","List.Size_HYP","List.Size_LVSD","List.Size_PAD","List.Size_STIA"
"3289","N81029",100,100,100,100,100,100,NA,100,100,3.03719981164652,NA,2.89593470412808,NA,0.792654214409041,17.1244702558468,0.38741302972802,0.816198398995448,1.82859833621096,12742,6300,12742,12648,12742,12742,NA,12742,12742
"3290","N81655",47.5862068965517,100,NA,59.3,75.8620689655173,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0.769230769230769,NA,NA,NA,171,NA,390,NA,NA,NA,NA,NA
"3291","N81024",100,100,100,61.5666666666667,100,100,NA,100,100,2.71033314511575,NA,3.67965367965368,NA,1.93864106907585,16.4690382081686,0.962873807980743,0.809335591944288,2.35271974402409,10626,4786,10626,10801,10626,10626,NA,10626,10626
"3292","N81018",100,88.5333333333333,100,86.9666666666667,100,100,NA,100,100,3.47129506008011,NA,3.94465347736376,NA,0.813205486102682,17.1501395800461,0.438382854359474,0.837480276732613,2.2818303192135,8239,4770,8239,8212,8239,8239,NA,8239,8239
"3293","N81008",100,100,100,100,100,100,NA,100,100,3.55463096960926,NA,4.29630969609262,NA,1.83610709117221,18.3068017366136,1.0968760968761,0.687409551374819,2.77677279305355,11056,5918,11056,11396,11056,11056,NA,11056,11056
"3294","N81079",100,100,100,100,100,100,NA,100,100,2.15086646279307,NA,3.20081549439348,NA,1.22324159021407,14.5259938837921,1.07160741111667,0.825688073394495,1.60040774719674,9810,4384,9810,9985,9810,9810,NA,9810,9810
"3295","N81101",100,79.9333333333333,100,99.8666666666667,100,100,NA,100,100,2.32977217145064,NA,2.81889561076072,NA,0.9525035397091,12.0221392714635,0.518855985826373,0.334663405843738,1.8149053932295,7769,3945,7769,7902,7769,7769,NA,7769,7769
"3296","N81077",100,76.0666666666667,99.3571428571429,34.4,100,100,NA,100,97.1818181818182,3.53476885081423,NA,3.73543258470325,NA,2.24589025237323,17.1413135756734,1.67092132745417,0.656016053098711,2.6780890638265,12957,7377,12957,12927,12957,12957,NA,12957,12957
"3297","N81047",100,100,100,100,100,100,NA,100,100,2.9161128918771,NA,3.80736455320147,NA,1.32905949495739,16.6992416542882,0.843915135263033,0.852161676178563,2.65030099288562,12791,6770,12791,12679,12791,12791,NA,12791,12791
"3298","N81614",100,94.0666666666667,100,80.0666666666667,100,100,NA,100,100,3.18776487930717,NA,3.83268840980284,NA,1.1608623548922,16.5837479270315,0.672360530619662,0.608070757324489,2.41385664271236,5427,3051,5427,5503,5427,5427,NA,5427,5427
"3299","N81624",100,100,100,100,100,100,NA,100,100,3.56189813203388,NA,3.17902308852535,NA,1.06740921220559,16.7536837220095,1.01647388713635,0.556909154194222,2.12321615036547,8619,4780,8619,8559,8619,8619,NA,8619,8619
"3300","N81127",100,100,100,100,100,100,NA,100,100,3.23054331864905,NA,5.17621145374449,NA,2.04356338717572,21.6593245227606,1.13925584777603,0.893294175232501,2.9980420949584,8172,3965,8172,8251,8172,8172,NA,8172,8172
"3301","N81051",100,100,100,100,100,100,NA,100,100,3.47619712411001,NA,3.81125226860254,NA,1.59151193633952,20.2708362417981,1.00840336134454,0.85159849225185,2.62459863185816,7163,3839,7163,7140,7163,7163,NA,7163,7163
"3302","Y04664",100,100,67.6428571428572,97.8,100,66.76,NA,100,72.8181818181818,3.18654569595043,NA,3.38570480194733,NA,0.752378844877185,14.3615844213322,0.287610619469027,0.354060632883381,2.16862137641071,4519,2648,4519,4520,4519,4519,NA,4519,4519
"3303","N81090",95.7586206896552,100,99.25,62.6,100,100,NA,100,100,2.99896587383661,NA,3.86763185108583,NA,1.32368148914168,16.918304033092,0.943396226415094,0.62047569803516,2.27507755946225,4835,2512,4835,4982,4835,4835,NA,4835,4835
"3304","N81100",100,93.4,96.1785714285714,100,98.9310344827586,73.44,NA,100,95.1818181818182,3.06764551651809,NA,3.09386470896696,NA,1.0487676979549,14.5909805977976,0.474541490316788,0.432616675406398,1.97954902988988,7628,3743,7628,7797,7628,7628,NA,7628,7628
"3305","N81642",100,100,100,100,100,100,NA,100,100,1.88436830835118,NA,3.10492505353319,NA,0.963597430406852,16.3169164882227,0.484581497797357,0.620985010706638,2.29122055674518,4670,2192,4670,4540,4670,4670,NA,4670,4670
"3306","N81055",100,100,100,100,100,100,NA,100,100,2.73216503380709,NA,4.1120463640127,NA,1.62825996964261,18.973368290327,0.643356643356643,0.441562025665793,2.18021250172485,7247,3815,7247,7150,7247,7247,NA,7247,7247
"3307","N81626",100,100,100,100,100,100,NA,100,100,1.85394528600497,NA,3.43658150576532,NA,0.768709021026452,12.4123897806918,0.24808299503834,0.904363554148768,1.87655437485869,4423,1655,4423,4434,4423,4423,NA,4423,4423
"3308","N81607",100,100,78.1428571428572,100,100,65.84,NA,100,85.8181818181818,1.37378362907842,NA,2.91929021179164,NA,1.20206067544362,11.3050944476245,0.550357732526142,0.68689181453921,1.45964510589582,3494,1178,3494,3634,3494,3494,NA,3494,3494
"3309","N81093",100,100,100,100,100,85.84,NA,100,99.7272727272727,2.92197699720236,NA,4.05346596207647,NA,1.8277898663351,17.9173142679515,1.49078312507732,0.951196767174386,2.11377059372086,16085,7794,16085,16166,16085,16085,NA,16085,16085
"3310","N81123",100,100,100,96.7,100,100,NA,100,100,2.19731603008406,NA,2.62498156614069,NA,1.9613626308804,15.676153959593,1.42754145638068,0.678366022710515,1.88762719362926,6781,2656,6781,6935,6781,6781,NA,6781,6781
"3311","N81086",100,100,100,38.2666666666667,100,100,NA,100,100,1.94873827454089,NA,2.03461487646981,NA,0.627559783326727,10.7015457788347,0.645242914979757,0.422777117188532,1.34760206103845,15138,6590,15138,15808,15138,15138,NA,15138,15138
"3312","N81061",100,100,100,92.2666666666667,100,100,NA,100,100,2.54650132860939,NA,3.69796279893711,NA,1.2621789193977,16.685119574845,0.870765636614633,0.631089459698849,1.92648361381754,9032,4497,9032,9417,9032,9032,NA,9032,9032
"3313","N81063",99.2758620689655,100,100,100,100,100,NA,100,100,1.81123296776338,NA,2.84978398138917,NA,1.26287803256896,13.0109670987039,0.988574669799854,0.756065137919575,1.86108341641741,12036,4814,12036,12341,12036,12036,NA,12036,12036
"3314","B83620",100,100,100,100,100,100,NA,100,100,4.92053789731051,NA,5.0122249388753,NA,1.92542787286064,24.3581907090465,0.93622001170275,1.00855745721271,3.20904645476773,3272,2327,3272,3418,3272,3272,NA,3272,3272
"3315","B83062",100,95.8,99.3928571428571,100,100,95.56,NA,100,99.6363636363636,1.68864214665741,NA,2.77585010409438,NA,1.09877399953736,15.4059680777238,0.786504046506326,0.613000231320842,1.86213277816331,8646,3204,8646,8773,8646,8646,NA,8646,8646
"3316","B83641",100,100,100,100,100,100,NA,100,98.0909090909091,0.565039672998317,NA,2.05578264005771,NA,0.553017552296225,11.5532579947103,0.373708507364256,0.288530896850204,1.04592450108199,8318,2399,8318,9098,8318,8318,NA,8318,8318
"3317","B83022",100,92,100,53.8333333333333,96.1724137931034,100,NA,100,99.7272727272727,3.12000851879459,NA,3.65243318070493,NA,1.00095836439144,20.0724097540198,0.619292537000105,0.851879459056543,2.5023959109786,9391,5455,9391,9527,9391,9391,NA,9391,9391
"3318","B83657",58.6206896551724,95.1333333333333,82.1428571428572,81.1666666666667,100,73.16,NA,100,81.8181818181818,0.139154635588798,NA,0.74795616628979,NA,0.226126282831797,4.00069577317794,0.175008750437522,0.226126282831797,0.365280918420595,5749,1010,5749,5714,5749,5749,NA,5749,5749
"3319","B83660",100,76.7333333333333,90,58.7666666666667,100,85.96,NA,100,85.6363636363636,0.392605921805987,NA,2.73188287256666,NA,0.507115982332734,8.47374447897922,0.246791707798618,0.278095861279241,0.588908882708981,6113,1596,6113,6078,6113,6113,NA,6113,6113
"3320","B83014",100,99,100,100,100,98.08,NA,100,100,2.73088753845,NA,3.22604846575137,NA,0.84777552704629,17.3381348938405,0.606957809030348,0.81776577387651,2.40828269187486,13329,6924,13329,13510,13329,13329,NA,13329,13329
"3321","B83041",100,93.4,100,100,100,98.48,NA,100,100,1.57854828703385,NA,2.97097952712484,NA,0.840973323223271,14.2207210312263,0.466531440162272,0.861652995105811,1.6750534224857,14507,5185,14507,14790,14507,14507,NA,14507,14507
