Practice.Code,Outcome,Outcome2
G83672,NA,Merged
G85081,NA,Closed
H85072,NA,Merged
J82065,NA,Merged
L83074,NA,Merged
L84017,NA,Merged
L85005,NA,Merged
M85075,NA,Merged
M85611,NA,Merged
P87036,NA,Merged
Y03097,NA,Closed
Y03101,NA,Closed
